     ,T0001,T0002,T0003,T0004,T0005,T0006,T0007,T0008,T0009,T0010,T0011,T0012,T0013,T0014,T0015,T0016,T0017,T0018,T0019,T0020,T0021,T0022,T0023,T0024,T0025,T0026,T0027,T0028,T0029,T0030,T0031,T0032,T0033,T0034,T0035,T0036,T0037,T0038,T0039,T0040,T0041,T0042,T0043,T0044,T0045,T0046,T0047,T0048,T0049,T0050,T0051,T0052,T0053,T0054,T0055,T0056,T0057,T0058,T0059,T0060,T0061,T0062,T0063,T0064,T0065,T0066,T0067,T0068,T0069,T0070,T0071,T0072,T0073,T0074,T0075,T0076,T0077,T0078,T0079,T0080,T0081,T0082,T0083,T0084,T0085,T0086,T0087,T0088,T0089,T0090,T0091,T0092,T0093,T0094,T0095,T0096,T0097,T0098,T0099,T0100,T0101,T0102,T0103,T0104,T0105,T0106,T0107,T0108,T0109,T0110,T0111,T0112,T0113,T0114,T0115,T0116,T0117,T0118,T0119,T0120,T0121,T0122,T0123,T0124,T0125,T0126,T0127,T0128,T0129,T0130,T0131,T0132,T0133,T0134,T0135,T0136,T0137,T0138,T0139,T0140,T0141,T0142,T0143,T0144,T0145,T0146,T0147,T0148,T0149
S0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.968036529680365,12.968036529680365,25.11415525114155,25.11415525114155,51.23287671232877,76.5296803652968,88.67579908675799,87.85388127853881,100.0,87.85388127853882,87.85388127853882,74.70319634703196,49.40639269406392,37.26027397260274,25.11415525114155,12.968036529680365,12.968036529680365,12.968036529680365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.968036529680365,12.968036529680365,12.968036529680365,25.93607305936073,25.93607305936073,25.93607305936073,38.90410958904109,25.93607305936073,25.93607305936073,25.93607305936073,12.968036529680365,12.968036529680365,12.968036529680365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.968036529680365,25.93607305936073,25.93607305936073,25.93607305936073,25.93607305936073,25.93607305936073,25.93607305936073,12.968036529680365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.150684931506849,13.150684931506849,13.150684931506849,13.150684931506849,13.150684931506849,13.150684931506849,13.150684931506849,0.0,0.0,0.0,0.0,12.968036529680365,25.93607305936073,25.93607305936073,38.90410958904109,38.90410958904109,38.90410958904109,38.90410958904109,25.93607305936073,12.968036529680365,12.968036529680365,12.968036529680365,12.968036529680365,12.968036529680365,12.968036529680365,12.968036529680365,12.968036529680365,12.968036529680365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.968036529680365,25.11415525114155,25.11415525114155,25.11415525114155,25.11415525114155,37.26027397260274,63.37899543378996,75.70776255707763,75.70776255707761,75.70776255707761,75.70776255707761,75.70776255707761
S0003,0.0,7.073509015256589,14.147018030513179,14.147018030513179,14.147018030513179,14.147018030513179,14.147018030513179,23.9251040221914,26.629680998613036,19.55617198335645,19.55617198335645,19.55617198335645,19.55617198335645,28.779472954230236,19.001386962552015,19.348127600554786,19.348127600554786,28.571428571428577,37.79472954230236,56.79611650485438,57.697642163661584,77.6005547850208,67.47572815533981,67.47572815533981,58.25242718446602,49.02912621359223,37.101248266296814,41.262135922330096,35.64493758668516,49.93065187239945,64.21636615811373,78.50208044382802,92.7877947295423,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,85.71428571428571,78.502080443828,78.502080443828,78.502080443828,78.50208044382802,78.50208044382802,78.50208044382802,92.7877947295423,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,85.71428571428571,71.42857142857142,57.14285714285713,52.08044382801665,37.79472954230236,23.509015256588075,9.223300970873789,9.223300970873789,9.223300970873789,19.486823855755897,10.263522884882109,10.263522884882109,10.263522884882109,10.263522884882109,10.263522884882109,10.263522884882109,0.0,0.0,0.0,7.073509015256589,21.35922330097088,35.64493758668516,49.93065187239945,64.21636615811373,64.21636615811373,64.21636615811373,64.35506241331484,50.069348127600556,35.78363384188627,21.497919556171986,7.212205270457698,7.212205270457698,7.212205270457698,0.0,7.073509015256589,21.35922330097088,35.64493758668516,49.93065187239945,64.21636615811373,78.50208044382802,92.7877947295423,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,85.71428571428571,71.42857142857142,57.14285714285713,42.857142857142854,38.3495145631068,33.84188626907074,26.768377253814148,43.75866851595008,43.75866851595008,43.75866851595008,43.75866851595008,33.980582524271846,24.20249653259362,16.990291262135923,9.223300970873789,9.223300970873789,9.223300970873789,9.223300970873789,9.223300970873789,9.223300970873789,9.223300970873789,9.223300970873789,9.223300970873789,9.223300970873789,9.223300970873789,9.223300970873789,9.223300970873789,9.223300970873789,0.0,0.0,0.0,0.0,0.0,7.073509015256589,21.35922330097088,35.64493758668516,49.93065187239945,64.21636615811373,64.21636615811373,64.21636615811373,57.14285714285713,52.08044382801665,47.01803051317615,32.732316227461865,18.446601941747577,18.446601941747577,27.66990291262136,36.893203883495154,36.893203883495154,46.67128987517337,46.67128987517337,46.67128987517337,46.67128987517337
S0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,59.436619718309856,79.71830985915493,79.71830985915493,79.71830985915493,79.71830985915493,79.71830985915493,59.71830985915493,20.281690140845072,0.0,0.0,0.0,0.0,20.281690140845072,40.563380281690144,40.563380281690144,40.563380281690144,40.563380281690144,40.563380281690144,40.563380281690144,20.281690140845072,0.0,0.0,0.0,0.0,20.0,40.4225352112676,60.845070422535215,60.845070422535215,80.0,80.0,99.99999999999999,80.0,59.5774647887324,39.154929577464785,39.154929577464785,20.0,20.0,0.0,0.0,0.0,0.0,0.0,20.281690140845072,40.563380281690144,40.563380281690144,40.563380281690144,40.563380281690144,40.563380281690144,40.563380281690144,40.28169014084507,40.0,40.0,40.0,40.0,40.0,40.0,20.0,20.281690140845072,40.563380281690144,40.563380281690144,40.563380281690144,40.563380281690144,40.563380281690144,40.563380281690144,20.281690140845072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.154929577464788,39.154929577464785,59.154929577464785,79.57746478873239,79.57746478873239,98.73239436619718,98.73239436619718,79.57746478873239,59.5774647887324,39.5774647887324,39.5774647887324,39.5774647887324,20.422535211267608,20.422535211267608,20.422535211267608,20.422535211267608,20.422535211267608,0.0,0.0,0.0,0.0,0.0,20.281690140845072,40.563380281690144,40.563380281690144,40.563380281690144,40.563380281690144,40.563380281690144,40.563380281690144,20.281690140845072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S0005,0.0,8.346972176759412,16.693944353518823,16.693944353518823,16.693944353518823,16.693944353518823,16.693944353518823,28.232405891980363,31.423895253682485,23.076923076923077,23.076923076923077,23.076923076923077,23.076923076923077,23.076923076923077,11.538461538461538,0.0,0.0,0.0,0.0,11.538461538461538,21.93126022913257,33.469721767594116,33.469721767594116,33.469721767594116,33.469721767594116,33.469721767594116,30.278232405891984,38.6252045826514,35.43371522094927,54.17348608837971,62.520458265139126,81.26022913256956,89.60720130932899,100.0,89.60720130932899,100.0,89.60720130932899,81.26022913256956,70.86743044189853,81.26022913256956,70.86743044189853,81.26022913256956,70.86743044189852,81.26022913256956,89.60720130932899,100.0,89.60720130932899,100.0,89.60720130932899,81.26022913256956,62.520458265139126,54.17348608837971,35.43371522094927,27.086743044189856,8.346972176759412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.346972176759412,27.086743044189856,35.43371522094927,54.17348608837971,62.520458265139126,62.520458265139126,62.520458265139126,66.2847790507365,47.54500818330607,39.198036006546644,20.458265139116204,12.111292962356794,12.111292962356794,12.111292962356794,0.0,8.346972176759412,27.086743044189856,35.43371522094927,54.17348608837971,62.520458265139126,81.26022913256956,89.60720130932899,100.0,89.60720130932899,100.0,89.60720130932899,100.0,89.60720130932899,81.26022913256956,62.520458265139126,54.17348608837971,35.43371522094927,38.6252045826514,31.423895253682485,33.46972176759411,45.00818330605565,45.00818330605565,45.00818330605565,45.00818330605565,33.469721767594116,21.93126022913257,11.538461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.346972176759412,27.086743044189856,35.43371522094927,54.17348608837971,62.520458265139126,62.520458265139126,62.520458265139126,54.17348608837971,35.43371522094927,27.086743044189856,8.346972176759412,0.0,0.0,0.0,0.0,0.0,11.538461538461538,11.538461538461538,11.538461538461538,11.538461538461538
S0006,0.0,6.746031746031746,13.492063492063492,13.492063492063492,13.492063492063492,13.492063492063492,13.492063492063492,22.817460317460316,25.396825396825392,18.65079365079365,18.65079365079365,18.65079365079365,18.65079365079365,18.65079365079365,9.325396825396824,0.0,0.0,0.0,0.0,9.325396825396824,16.203703703703702,32.407407407407405,32.407407407407405,32.407407407407405,32.407407407407405,32.407407407407405,29.828042328042326,36.574074074074076,33.99470899470899,47.61904761904762,61.24338624338624,74.86772486772486,88.49206349206348,95.37037037037035,95.37037037037035,97.68518518518518,99.99999999999999,86.37566137566137,79.4973544973545,79.4973544973545,79.4973544973545,79.4973544973545,77.18253968253967,74.86772486772486,88.49206349206348,95.37037037037035,95.37037037037035,97.68518518518518,99.99999999999999,86.37566137566137,72.75132275132273,59.12698412698411,45.5026455026455,31.878306878306876,15.939153439153438,0.0,0.0,0.0,9.788359788359788,9.788359788359788,9.788359788359788,9.788359788359788,9.788359788359788,9.788359788359788,9.788359788359788,0.0,0.0,0.0,6.746031746031746,20.37037037037037,33.99470899470899,49.93386243386244,65.87301587301587,65.87301587301587,65.87301587301587,66.005291005291,52.38095238095237,38.75661375661375,22.817460317460316,6.878306878306878,6.878306878306878,6.878306878306878,0.0,6.746031746031746,20.37037037037037,33.99470899470899,47.61904761904762,61.24338624338624,74.86772486772486,88.49206349206348,95.37037037037035,95.37037037037035,95.37037037037035,95.37037037037035,97.68518518518518,99.99999999999999,86.37566137566137,72.75132275132273,59.12698412698411,45.5026455026455,41.2037037037037,34.58994708994709,25.52910052910053,41.732804232804234,41.732804232804234,41.732804232804234,41.732804232804234,32.407407407407405,23.082010582010582,16.203703703703702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.746031746031746,20.37037037037037,33.99470899470899,49.93386243386244,65.87301587301587,65.87301587301587,65.87301587301587,59.12698412698411,45.5026455026455,31.878306878306876,15.939153439153438,0.0,0.0,0.0,0.0,0.0,9.325396825396824,9.325396825396824,9.325396825396824,9.325396825396824
S0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.772727272727266,60.22727272727271,60.22727272727271,60.22727272727271,60.22727272727271,60.22727272727271,60.22727272727271,20.45454545454545,0.0,0.0,0.0,0.0,40.9090909090909,61.36363636363636,61.36363636363636,61.36363636363636,61.36363636363636,61.36363636363636,61.36363636363636,20.45454545454545,0.0,0.0,0.0,0.0,20.45454545454545,39.772727272727266,59.09090909090908,59.09090909090908,79.54545454545453,79.54545454545453,100.0,79.54545454545453,60.22727272727271,40.9090909090909,40.9090909090909,20.45454545454545,20.45454545454545,0.0,0.0,0.0,0.0,0.0,20.45454545454545,40.9090909090909,40.9090909090909,40.9090909090909,40.9090909090909,40.9090909090909,40.9090909090909,39.772727272727266,38.636363636363626,38.636363636363626,38.636363636363626,38.636363636363626,38.636363636363626,38.636363636363626,19.318181818181813,20.45454545454545,40.9090909090909,40.9090909090909,40.9090909090909,40.9090909090909,40.9090909090909,40.9090909090909,20.45454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.318181818181813,38.636363636363626,57.954545454545446,77.27272727272725,77.27272727272725,97.72727272727272,97.72727272727272,78.40909090909089,59.09090909090908,39.772727272727266,39.772727272727266,39.772727272727266,19.318181818181813,19.318181818181813,19.318181818181813,19.318181818181813,19.318181818181813,0.0,0.0,0.0,0.0,0.0,20.45454545454545,40.9090909090909,40.9090909090909,40.9090909090909,40.9090909090909,40.9090909090909,40.9090909090909,20.45454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S0008,0.0,8.346972176759412,16.693944353518823,16.693944353518823,16.693944353518823,16.693944353518823,16.693944353518823,28.232405891980363,31.423895253682485,23.076923076923077,23.076923076923077,23.076923076923077,23.076923076923077,23.076923076923077,11.538461538461538,0.0,0.0,0.0,0.0,11.538461538461538,21.93126022913257,33.469721767594116,33.469721767594116,33.469721767594116,33.469721767594116,33.469721767594116,30.278232405891984,38.6252045826514,35.43371522094927,54.17348608837971,62.520458265139126,81.26022913256956,89.60720130932899,100.0,89.60720130932899,100.0,89.60720130932899,81.26022913256956,70.86743044189853,81.26022913256956,70.86743044189853,81.26022913256956,70.86743044189852,81.26022913256956,89.60720130932899,100.0,89.60720130932899,100.0,89.60720130932899,81.26022913256956,62.520458265139126,54.17348608837971,35.43371522094927,27.086743044189856,8.346972176759412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.346972176759412,27.086743044189856,35.43371522094927,54.17348608837971,62.520458265139126,62.520458265139126,62.520458265139126,66.2847790507365,47.54500818330607,39.198036006546644,20.458265139116204,12.111292962356794,12.111292962356794,12.111292962356794,0.0,8.346972176759412,27.086743044189856,35.43371522094927,54.17348608837971,62.520458265139126,81.26022913256956,89.60720130932899,100.0,89.60720130932899,100.0,89.60720130932899,100.0,89.60720130932899,81.26022913256956,62.520458265139126,54.17348608837971,35.43371522094927,38.6252045826514,31.423895253682485,33.46972176759411,45.00818330605565,45.00818330605565,45.00818330605565,45.00818330605565,33.469721767594116,21.93126022913257,11.538461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.346972176759412,27.086743044189856,35.43371522094927,54.17348608837971,62.520458265139126,62.520458265139126,62.520458265139126,54.17348608837971,35.43371522094927,27.086743044189856,8.346972176759412,0.0,0.0,0.0,0.0,0.0,11.538461538461538,11.538461538461538,11.538461538461538,11.538461538461538
S0009,0.0,6.746031746031746,13.492063492063492,13.492063492063492,13.492063492063492,13.492063492063492,13.492063492063492,22.817460317460316,25.396825396825392,18.65079365079365,18.65079365079365,18.65079365079365,18.65079365079365,18.65079365079365,9.325396825396824,0.0,0.0,0.0,0.0,9.325396825396824,16.203703703703702,32.407407407407405,32.407407407407405,32.407407407407405,32.407407407407405,32.407407407407405,29.828042328042326,36.574074074074076,33.99470899470899,47.61904761904762,61.24338624338624,74.86772486772486,88.49206349206348,95.37037037037035,95.37037037037035,97.68518518518518,99.99999999999999,86.37566137566137,79.4973544973545,79.4973544973545,79.4973544973545,79.4973544973545,77.18253968253967,74.86772486772486,88.49206349206348,95.37037037037035,95.37037037037035,97.68518518518518,99.99999999999999,86.37566137566137,72.75132275132273,59.12698412698411,45.5026455026455,31.878306878306876,15.939153439153438,0.0,0.0,0.0,9.788359788359788,9.788359788359788,9.788359788359788,9.788359788359788,9.788359788359788,9.788359788359788,9.788359788359788,0.0,0.0,0.0,6.746031746031746,20.37037037037037,33.99470899470899,49.93386243386244,65.87301587301587,65.87301587301587,65.87301587301587,66.005291005291,52.38095238095237,38.75661375661375,22.817460317460316,6.878306878306878,6.878306878306878,6.878306878306878,0.0,6.746031746031746,20.37037037037037,33.99470899470899,47.61904761904762,61.24338624338624,74.86772486772486,88.49206349206348,95.37037037037035,95.37037037037035,95.37037037037035,95.37037037037035,97.68518518518518,99.99999999999999,86.37566137566137,72.75132275132273,59.12698412698411,45.5026455026455,41.2037037037037,34.58994708994709,25.52910052910053,41.732804232804234,41.732804232804234,41.732804232804234,41.732804232804234,32.407407407407405,23.082010582010582,16.203703703703702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.746031746031746,20.37037037037037,33.99470899470899,49.93386243386244,65.87301587301587,65.87301587301587,65.87301587301587,59.12698412698411,45.5026455026455,31.878306878306876,15.939153439153438,0.0,0.0,0.0,0.0,0.0,9.325396825396824,9.325396825396824,9.325396825396824,9.325396825396824
S0010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.852112676056338,12.852112676056338,12.852112676056338,12.852112676056338,12.852112676056338,25.35211267605634,37.32394366197183,24.471830985915492,24.471830985915492,24.471830985915492,24.471830985915492,24.471830985915492,11.971830985915494,0.0,0.0,0.0,0.0,0.0,12.67605633802817,12.67605633802817,12.67605633802817,12.67605633802817,12.67605633802817,12.67605633802817,12.67605633802817,0.0,0.0,0.0,0.0,0.0,25.440140845070424,37.41197183098591,49.38380281690141,49.38380281690141,74.03169014084509,74.03169014084509,100.0,74.55985915492957,62.58802816901408,50.61619718309859,50.61619718309859,25.96830985915493,25.96830985915493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,25.0,25.0,25.0,25.0,25.0,25.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.852112676056338,12.852112676056338,12.852112676056338,12.852112676056338,12.852112676056338,24.823943661971835,37.32394366197183,36.97183098591549,48.943661971830984,48.943661971830984,73.59154929577466,73.59154929577466,61.61971830985916,49.11971830985915,36.61971830985915,36.61971830985915,36.61971830985915,11.971830985915494,11.971830985915494,11.971830985915494,11.971830985915494,11.971830985915494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.852112676056338,12.852112676056338,12.852112676056338,12.852112676056338
